,YEAR,MONTH,DAY,BAROMETER,THERMOMETER,LATITUDE,LONGITUDE
212,1839,7,24,23.0,,,
213,1839,7,24,22.976,,,
214,1839,7,25,23.1,,,
215,1839,7,25,23.092,,,
216,1839,7,25,23.093,,,
217,1839,7,25,23.06,,,
218,1839,7,25,23.06,,,
219,1839,7,25,23.042,,,
220,1839,7,25,23.033,,,
221,1839,7,26,23.058,,,
222,1839,7,26,23.052,,,
223,1839,7,26,23.038,,,
224,1839,7,26,23.0,,,
225,1839,7,26,22.996,,,
226,1839,7,26,22.996,,,
227,1839,7,27,23.097,,,
228,1839,7,27,23.086,,,
229,1839,7,27,23.08,,,
230,1839,7,27,23.06,,,
231,1839,7,27,23.043,,,
232,1839,7,27,23.026,,,
233,1839,7,27,23.005,,,
234,1839,7,28,23.085,,,
235,1839,7,28,23.072,,,
236,1839,7,28,23.05,,,
237,1839,7,28,23.034,,,
238,1839,7,28,23.015,,,
239,1839,7,28,23.007,,,
240,1839,7,28,23.005,,,
241,1839,7,29,23.07,,,
242,1839,7,29,23.055,,,
243,1839,7,29,23.038,,,
244,1839,7,29,23.022,,,
245,1839,7,29,23.004,,,
246,1839,7,29,22.99,,,
247,1839,7,29,22.985,,,
248,1839,7,30,22.323,,,
249,1839,7,30,22.315,,,
250,1839,7,30,22.297,,,
251,1839,7,30,22.243,,,
252,1839,7,30,22.298,,,
253,1839,7,30,22.287,,,
254,1839,7,31,22.533,,,
255,1839,7,31,22.527,,,
256,1839,7,31,22.524,,,
257,1839,7,31,22.515,,,
258,1839,7,31,22.5,,,
259,1839,8,1,23.168,,,
260,1839,8,1,23.16,,,
261,1839,8,1,23.145,,,
262,1839,8,1,23.145,,,
263,1839,8,2,23.362,,,
264,1839,8,3,23.35,,,
265,1839,8,3,23.35,,,
266,1839,8,3,23.336,,,
267,1839,8,3,23.266,,,
268,1839,8,3,23.262,,,
269,1839,8,3,23.255,,,
270,1839,8,4,22.83,,,
271,1839,8,4,22.82,,,
272,1839,8,4,22.86,,,
273,1839,8,4,,,,
274,1839,8,5,23.11,,,
275,1839,8,5,23.08,,,
276,1839,8,5,23.067,,,
277,1839,8,5,23.04,,,
278,1839,8,6,23.089,,,
279,1839,8,6,23.081,,,
280,1839,8,6,23.081,,,
281,1839,8,6,23.034,,,
282,1839,8,7,24.071,,,
283,1839,8,7,24.071,,,
284,1839,8,7,24.069,,,
285,1839,8,8,24.112,,,
286,1839,8,8,24.108,,,
287,1839,8,8,24.097,,,
288,1839,8,8,24.08,,,
289,1839,8,8,24.07,,,
290,1839,8,8,24.025,,,
291,1839,8,8,24.016,,,
292,1839,8,9,24.073,,,
293,1839,8,9,24.06,,,
294,1839,8,9,24.048,,,
295,1839,8,9,24.02,,,
296,1839,8,9,24.008,,,
297,1839,8,9,23.968,,,
298,1839,8,10,23.948,,,
299,1839,8,11,24.187,,,
300,1839,8,11,24.183,,,
301,1839,8,11,24.183,,,
302,1839,8,11,24.068,,,
303,1839,8,11,24.054,,,
304,1839,8,11,24.14,,,
305,1839,8,11,24.125,,,
306,1839,8,12,24.14,,,
307,1839,8,12,24.124,,,
308,1839,8,12,24.04,,,
309,1839,8,13,24.158,,,
310,1839,8,13,24.158,,,
311,1839,8,13,24.158,,,
312,1839,8,13,24.161,,,
313,1839,8,13,24.161,,,
314,1839,8,13,24.145,,,
315,1839,8,13,24.116,,,
316,1839,8,16,24.2,,,
317,1839,8,16,24.19,,,
318,1839,8,16,24.176,,,
319,1839,8,16,24.163,,,
320,1839,8,16,24.135,,,
321,1839,8,16,24.115,,,
322,1839,8,16,24.1,,,
323,1839,8,21,24.223,,,
324,1839,8,21,24.187,,,
325,1839,8,21,24.172,,,
326,1839,8,21,24.135,,,
327,1839,8,25,22.148,,,
328,1839,8,25,23.002,,,
329,1839,8,25,22.97,,,
330,1839,8,25,22.964,,,
331,1839,8,25,22.935,,,
332,1839,8,27,22.132,,,
333,1839,8,27,22.123,,,
334,1839,8,28,20.365,,,
335,1839,8,28,20.85,,,
336,1839,8,28,20.83,,,
337,1839,8,28,20.83,,,
338,1839,8,29,20.83,,,
339,1839,8,29,20.844,,,
340,1839,8,29,20.832,,,
341,1839,8,29,20.826,,,
342,1839,8,29,20.821,,,
343,1839,8,30,22.206,,,
344,1839,8,30,20.934,,,
345,1839,8,30,20.925,,,
346,1839,8,30,20.92,,,
347,1839,8,31,20.32,,,
348,1839,8,31,19.755,,,
349,1839,8,31,20.66,,,
350,1839,8,31,20.648,,,
351,1839,8,31,20.658,,,
352,1839,8,31,20.658,,,
353,1839,8,31,20.664,,,
354,1839,9,1,21.424,,,
355,1839,9,1,21.413,,,
356,1839,9,1,21.411,,,
357,1839,9,2,19.532,,,
358,1839,9,2,19.506,,,
359,1839,9,2,21.995,,,
360,1839,9,2,21.99,,,
361,1839,9,3,23.38,,,
362,1839,9,3,22.38,,,
363,1839,9,3,22.376,,,
364,1839,9,4,22.511,,,
365,1839,9,4,22.511,,,
366,1839,9,4,22.49,,,
367,1839,9,4,22.46,,,
368,1839,9,4,22.43,,,
369,1839,9,4,22.428,,,
370,1839,9,5,22.456,,,
371,1839,9,5,22.44,,,
372,1839,9,5,22.429,,,
373,1839,9,5,22.407,,,
374,1839,9,6,22.72,,,
375,1839,9,6,22.685,,,
376,1839,9,7,21.937,,,
377,1839,9,7,22.129,,,
378,1839,9,7,22.125,,,
379,1839,9,8,20.18,,,
380,1839,9,8,20.164,,,
381,1839,9,8,20.147,,,
382,1839,9,8,20.135,,,
383,1839,9,9,19.19,,,
384,1839,9,9,19.236,,,
385,1839,9,9,20.585,,,
386,1839,9,9,20.567,,,
387,1839,9,9,21.215,,,
388,1839,9,10,21.207,,,
389,1839,9,10,20.884,,,
390,1839,9,11,22.199,,,
391,1839,9,12,22.185,,,
392,1839,9,12,22.201,,,
393,1839,9,13,22.791,,,
394,1839,9,13,22.763,,,
395,1839,9,13,22.76,,,
396,1839,9,13,22.749,,,
397,1839,9,13,22.749,,,
398,1839,9,13,22.749,,,
399,1839,9,14,23.109,,,
400,1839,9,14,23.081,,,
401,1839,9,14,23.048,,,
402,1839,9,15,22.376,,,
403,1839,9,15,23.265,,,
404,1839,9,15,23.26,,,
405,1839,9,15,23.235,,,
406,1839,9,15,23.224,,,
407,1839,9,15,23.192,,,
408,1839,9,15,23.186,,,
409,1839,9,15,23.184,,,
410,1839,9,27,22.434,,,
411,1839,10,1,24.322,,,
412,1839,10,1,24.31,,,
413,1839,10,1,24.29,,,
414,1839,10,1,24.257,,,
415,1839,10,1,24.245,,,
416,1839,10,1,24.234,,,
417,1839,10,1,24.238,,,
418,1839,10,2,24.347,,,
419,1839,10,2,24.325,,,
420,1839,10,2,24.316,,,
421,1839,10,2,24.314,,,
422,1839,10,2,24.3,,,
423,1839,10,2,24.283,,,
424,1839,10,2,24.283,,,
425,1839,10,3,24.388,,,
426,1839,10,3,24.388,,,
427,1839,10,3,24.38,,,
428,1839,10,3,24.34,,,
429,1839,10,3,24.34,,,
430,1839,10,3,24.316,,,
431,1839,10,3,24.307,,,
432,1839,10,5,24.333,,,
433,1839,10,5,24.326,,,
434,1839,10,5,24.32,,,
435,1839,10,5,24.28,,,
436,1839,10,5,24.263,,,
437,1839,10,5,24.26,,,
438,1839,10,6,24.347,,,
439,1839,10,6,24.302,,,
440,1839,10,6,24.274,,,
441,1839,10,6,24.274,,,
442,1839,10,6,24.271,,,
443,1839,10,7,23.293,,,
444,1839,10,7,23.28,,,
445,1839,10,7,23.272,,,
446,1839,10,7,23.26,,,
447,1839,10,8,24.053,,,
448,1839,10,8,24.066,,,
449,1839,10,8,24.062,,,
450,1839,10,8,24.054,,,
451,1839,10,9,24.066,,,
452,1839,10,10,25.12,,,
453,1839,10,10,25.125,,,
454,1839,10,10,25.113,,,
455,1839,10,10,25.098,,,
456,1839,10,10,25.086,,,
457,1839,10,11,25.04,,,
458,1839,10,11,25.042,,,
459,1839,10,11,24.96,,,
460,1839,10,12,25.13,,,
461,1839,10,12,25.1,,,
462,1839,10,13,25.921,,,
463,1839,10,13,25.907,,,
464,1839,10,13,25.907,,,
465,1839,10,14,25.746,,,
466,1839,10,14,25.702,,,
467,1839,10,14,25.702,,,
468,1839,10,14,25.696,,,
469,1839,10,15,25.683,,,
470,1839,10,15,25.67,,,
471,1839,10,5,25.66,,,
472,1839,10,16,27.058,,,
473,1839,10,16,27.046,,,
474,1839,10,16,27.035,,,
475,1839,10,16,27.02,,,
476,1839,10,16,27.02,,,
477,1839,10,16,27.02,,,
478,1839,10,17,27.14,,,
479,1839,10,17,27.14,,,
480,1839,10,17,27.14,,,
481,1839,10,17,27.106,,,
482,1839,10,17,27.095,,,
483,1839,10,17,27.096,,,
484,1839,10,17,27.06,,,
485,1839,10,17,27.03,,,
486,1839,10,17,27.03,,,
487,1839,10,19,27.187,,,
488,1839,10,19,27.18,,,
489,1839,10,19,27.17,,,
490,1839,10,19,27.164,,,
491,1839,10,19,27.164,,,
492,1839,10,19,27.14,,,
493,1839,10,20,27.963,,,
494,1839,10,20,27.946,,,
495,1839,10,20,27.92,,,
496,1839,10,20,27.882,,,
497,1839,10,20,27.857,,,
498,1839,10,21,28.205,,,
499,1839,10,21,28.175,,,
500,1839,10,21,28.114,,,
501,1839,10,21,28.083,,,
502,1839,10,22,28.155,,,
503,1839,10,22,28.128,,,
504,1839,10,22,28.11,,,
505,1839,10,22,28.083,,,
506,1839,10,22,28.04,,,
507,1839,10,22,28.032,,,
508,1839,10,23,28.211,,,
509,1839,10,23,28.22,,,
510,1839,10,23,28.211,,,
511,1839,10,23,28.198,,,
512,1839,10,23,28.186,,,
513,1839,10,23,28.165,,,
514,1839,10,26,28.347,,,
515,1839,10,26,28.32,,,
516,1839,10,26,28.28,,,
517,1839,10,26,28.248,,,
518,1839,10,26,28.211,,,
519,1839,10,26,28.19,,,
520,1839,10,26,28.17,,,
521,1839,10,27,28.282,,,
522,1839,10,27,28.27,,,
523,1839,10,27,28.248,,,
524,1839,10,27,28.225,,,
525,1839,10,27,28.2,,,
526,1839,10,27,28.19,,,
527,1839,10,27,28.177,,,
528,1839,10,28,28.366,,,
529,1839,10,28,28.343,,,
530,1839,10,28,28.32,,,
531,1839,10,28,28.305,,,
532,1839,10,28,28.292,,,
533,1839,10,29,28.632,,,
534,1839,10,29,28.631,,,
535,1839,10,29,28.606,,,
536,1839,10,29,28.596,,,
537,1839,10,30,28.753,,,
538,1839,10,30,28.753,,,
539,1839,10,30,28.735,,,
540,1839,10,30,28.68,,,
541,1839,10,30,28.68,,,
542,1839,10,31,28.78,,,
543,1839,10,31,28.75,,,
544,1839,10,31,28.738,,,
545,1839,10,31,28.7,,,
546,1839,10,31,28.662,,,
547,1839,10,31,28.662,,,
548,1839,11,1,27.697,,,
549,1839,11,1,27.697,,,
550,1839,11,1,27.675,,,
551,1839,11,1,27.65,,,
552,1839,11,1,27.606,,,
553,1839,11,2,27.67,,,
554,1839,11,2,27.662,,,
555,1839,11,2,27.64,,,
556,1839,11,2,27.616,,,
557,1839,11,2,27.6,,,
558,1839,11,2,27.585,,,
559,1839,11,3,26.725,,,
560,1839,11,3,27.716,,,
561,1839,11,3,27.716,,,
562,1839,11,3,27.69,,,
563,1839,11,4,27.69,,,
564,1839,11,4,27.72,,,
565,1839,11,4,27.72,,,
566,1839,11,4,27.705,,,
567,1839,11,4,27.715,,,
568,1839,11,4,27.638,,,
569,1839,11,5,28.482,,,
570,1839,11,5,28.44,,,
571,1839,11,5,28.44,,,
572,1839,11,5,28.937,,,
573,1839,11,5,28.906,,,
574,1839,11,5,28.893,,,
575,1839,11,5,28.845,,,
576,1839,11,5,28.869,,,
577,1839,11,7,29.113,,,
578,1839,11,7,29.042,,,
579,1839,11,7,29.042,,,
580,1839,11,7,29.028,,,
581,1839,11,8,29.1,,,
582,1839,11,8,29.08,,,
583,1839,11,8,29.034,,,
584,1839,11,24,29.102,,,
585,1839,11,24,29.068,,,
586,1839,11,24,29.045,,,
587,1839,11,24,29.016,,,
588,1839,11,25,29.051,,,
589,1839,11,25,29.067,,,
590,1839,11,25,28.98,,,
591,1839,11,26,29.034,,,
592,1839,11,26,29.04,,,
593,1839,11,26,29.088,,,
594,1839,11,26,29.06,,,
595,1839,11,26,29.046,,,
596,1839,11,26,29.038,,,
597,1839,11,27,29.024,,,
598,1839,11,27,29.03,,,
599,1839,11,27,29.08,,,
600,1839,11,27,29.02,,,
601,1839,11,28,29.034,,,
602,1839,11,28,28.94,,,
603,1839,11,28,29.03,,,
604,1839,11,29,29.034,,,
605,1839,11,29,29.066,,,
606,1839,11,29,28.958,,,
607,1839,11,29,28.96,,,
608,1839,11,30,28.975,,,
609,1839,11,30,28.966,,,
610,1839,11,30,28.977,,,
611,1839,11,30,28.895,,,
612,1839,11,30,28.875,,,
613,1839,11,30,28.87,,,
614,1839,11,30,28.912,,,
615,1839,12,1,28.915,,,
616,1839,12,1,28.997,,,
617,1839,12,1,28.91,,,
618,1839,12,2,29.02,,,
619,1839,12,2,29.039,,,
620,1839,12,2,29.011,,,
621,1839,12,3,29.02,,,
622,1839,12,3,29.09,,,
623,1839,12,3,29.01,,,
624,1839,12,4,29.095,,,
625,1839,12,4,29.1,,,
626,1839,12,4,29.03,,,
627,1839,12,5,29.083,,,
628,1839,12,5,29.075,,,
629,1839,12,5,28.995,,,
630,1839,12,5,29.005,,,
631,1839,12,6,28.96,,,
632,1839,12,6,29.01,,,
633,1839,12,6,28.958,,,
634,1839,12,6,28.9,,,
635,1839,12,6,28.887,,,
636,1839,12,7,28.943,,,
637,1839,12,7,28.986,,,
638,1839,12,7,28.925,,,
639,1839,12,8,28.942,,,
640,1839,12,8,28.89,,,
641,1839,12,9,28.88,,,
642,1839,12,9,28.92,,,
643,1839,12,9,28.966,,,
644,1839,12,9,28.966,,,
645,1839,12,9,28.923,,,
646,1839,12,9,28.9,,,
647,1839,12,10,28.9,,,
648,1839,12,10,28.92,,,
649,1839,12,10,28.945,,,
650,1839,12,10,28.915,,,
651,1839,12,10,28.915,,,
652,1839,12,11,28.958,,,
653,1839,12,11,28.99,,,
654,1839,12,11,29.032,,,
655,1839,12,11,28.99,,,
656,1840,1,12,28.235,,,
657,1840,1,12,28.211,,,
658,1840,1,12,27.62,,,
659,1840,1,12,27.61,,,
660,1840,1,30,27.544,,,
661,1840,2,2,27.617,,,
662,1840,2,2,27.613,,,
663,1840,2,2,27.607,,,
664,1840,2,2,27.568,,,
665,1840,3,2,27.417,,,
666,1840,3,2,27.42,,,
667,1840,3,3,27.258,,,
668,1840,3,3,27.245,,,
669,1840,3,4,27.258,,,
670,1840,3,4,27.255,,,
671,1840,3,4,27.245,,,
672,1840,3,9,24.758,,,
673,1840,3,29,27.8,,,
674,1840,3,29,27.795,,,
675,1840,3,29,27.795,,,
676,1840,4,12,24.578,,,
677,1840,4,12,24.577,,,
678,1840,6,22,25.472,,,
679,1840,6,22,25.431,,,
680,1840,6,22,25.418,,,
681,1840,6,22,25.53,,,
682,1840,8,26,17.356,,,
683,1840,8,26,17.354,,,
684,1840,8,26,18.889,,,
685,1840,8,26,20.716,,,
686,1840,9,13,20.97,,,
687,1840,9,13,20.972,,,
688,1840,12,21,29.044,,,
689,1840,12,21,29.056,,,
690,1840,12,21,29.078,,,
691,1840,12,21,29.1,,,
692,1840,12,21,29.08,,,
693,1840,12,21,29.071,,,
694,1840,12,21,29.06,,,
695,1840,12,21,29.054,,,
696,1840,12,21,29.047,,,
697,1840,12,21,29.037,,,
698,1840,12,21,29.03,,,
699,1840,12,21,29.03,,,
700,1840,12,21,29.022,,,
701,1840,12,21,29.03,,,
702,1840,12,21,29.028,,,
703,1840,12,21,29.03,,,
704,1840,12,21,29.015,,,
705,1840,12,22,29.018,,,
706,1840,12,22,29.0,,,
707,1840,12,22,29.0,,,
708,1840,12,22,29.0,,,
709,1840,12,22,29.0,,,
710,1840,12,22,28.992,,,
711,1840,12,22,28.98,,,
712,1840,12,22,29.02,,,
713,1840,12,22,29.03,,,
714,1840,12,22,29.025,,,
715,1840,12,22,29.007,,,
716,1840,12,22,29.0,,,
717,1840,12,22,28.986,,,
718,1840,12,22,28.96,,,
719,1840,12,22,28.955,,,
720,1840,12,22,28.955,,,
721,1859,5,1,30.28,17.22222222222222,,
722,1859,5,2,30.09,16.666666666666668,,
723,1859,5,3,30.28,16.11111111111111,,
724,1859,5,4,30.16,18.88888888888889,,
725,1859,5,5,30.27,17.77777777777778,,
726,1859,5,6,30.14,21.11111111111111,,
727,1859,5,7,30.22,14.444444444444445,,
728,1859,5,8,30.24,13.333333333333334,,
729,1859,5,9,30.08,19.444444444444446,,
730,1859,5,10,29.86,23.333333333333336,,
731,1859,5,11,30.11,17.77777777777778,,
732,1859,5,12,30.11,17.22222222222222,,
733,1859,5,13,30.1,18.88888888888889,,
734,1859,5,14,30.08,18.88888888888889,,
735,1859,5,15,30.1,23.333333333333336,,
736,1859,5,16,30.21,22.22222222222222,,
737,1859,5,17,30.26,21.11111111111111,,
738,1859,5,18,30.26,20.0,,
739,1859,5,19,30.3,20.555555555555557,,
740,1859,5,20,30.12,17.77777777777778,,
741,1859,5,21,30.17,21.11111111111111,,
742,1859,5,22,30.1,22.22222222222222,,
743,1859,5,23,30.22,23.333333333333336,,
744,1859,5,24,30.24,18.88888888888889,,
745,1859,5,25,30.18,19.444444444444446,,
746,1859,5,26,30.21,20.0,,
747,1859,5,27,30.29,22.22222222222222,,
748,1859,5,28,30.12,21.11111111111111,,
749,1859,5,29,30.18,21.11111111111111,,
750,1859,5,30,30.24,21.666666666666668,,
751,1859,5,31,30.18,22.22222222222222,,
752,1859,6,1,30.01,23.333333333333336,,
753,1859,6,2,30.0,22.22222222222222,,
754,1859,6,3,30.03,22.77777777777778,,
755,1859,6,4,30.04,21.666666666666668,,
756,1859,6,5,30.06,23.333333333333336,,
757,1859,6,6,29.99,23.333333333333336,,
758,1859,6,7,30.0,20.0,,
759,1859,6,8,30.1,21.666666666666668,,
760,1859,6,9,29.95,26.11111111111111,,
761,1859,6,10,30.01,21.11111111111111,,
762,1859,6,11,30.09,22.22222222222222,,
763,1859,6,12,30.14,22.22222222222222,,
764,1859,6,13,30.19,22.77777777777778,,
765,1859,6,14,30.2,23.333333333333336,,
766,1859,6,15,30.22,22.22222222222222,,
767,1859,6,16,30.09,22.77777777777778,,
768,1859,6,17,30.0,22.22222222222222,,
769,1859,6,18,29.84,22.22222222222222,,
770,1859,6,19,29.68,21.666666666666668,,
771,1859,6,20,29.64,22.77777777777778,,
772,1859,6,21,29.7,23.333333333333336,,
773,1859,6,22,29.84,23.333333333333336,,
774,1859,6,23,29.82,22.77777777777778,,
775,1859,6,24,29.94,21.666666666666668,,
776,1859,6,25,29.98,24.444444444444446,,
777,1859,6,26,29.86,25.0,,
778,1859,6,27,29.84,26.11111111111111,,
779,1859,6,28,29.8,26.11111111111111,,
780,1859,6,29,29.7,25.555555555555557,,
781,1859,6,30,29.69,26.666666666666668,,
782,1859,7,1,29.86,25.555555555555557,,
783,1859,7,2,29.94,25.555555555555557,,
784,1859,7,3,30.04,25.555555555555557,,
785,1859,7,4,30.0,26.11111111111111,,
786,1859,7,5,30.06,25.555555555555557,,
787,1859,7,6,30.08,28.88888888888889,,
788,1859,7,7,30.14,27.222222222222225,,
789,1859,7,8,30.09,26.11111111111111,,
790,1859,7,9,30.11,25.555555555555557,,
791,1859,7,10,30.14,25.0,,
792,1859,7,11,30.25,26.11111111111111,,
793,1859,7,12,30.27,26.666666666666668,,
794,1859,7,13,30.22,26.11111111111111,,
795,1859,7,14,30.16,26.666666666666668,,
796,1859,7,15,30.12,27.77777777777778,,
797,1859,7,16,30.1,27.77777777777778,,
798,1859,7,17,30.1,28.333333333333336,,
799,1859,7,18,30.11,28.333333333333336,,
800,1859,7,19,30.08,27.222222222222225,,
801,1859,7,20,29.94,28.333333333333336,,
802,1859,7,21,30.12,22.22222222222222,,
803,1859,7,22,30.16,26.11111111111111,,
804,1859,7,23,30.02,30.0,,
805,1859,7,24,30.1,25.555555555555557,,
806,1859,7,25,30.11,26.11111111111111,,
807,1859,7,26,30.18,26.666666666666668,,
808,1859,7,27,30.12,28.88888888888889,,
809,1859,7,28,30.09,27.77777777777778,,
810,1859,7,29,30.04,30.0,,
811,1859,7,30,29.84,28.88888888888889,,
812,1859,7,31,29.74,27.77777777777778,,
813,1859,8,1,29.94,25.555555555555557,,
814,1859,8,2,30.02,23.88888888888889,,
815,1859,8,3,29.95,26.11111111111111,,
816,1859,8,4,29.9,26.11111111111111,,
817,1859,8,5,29.94,26.11111111111111,,
818,1859,8,6,29.8,26.666666666666668,,
819,1859,8,7,29.96,26.666666666666668,,
820,1859,8,8,30.14,25.555555555555557,,
821,1859,8,9,30.13,25.555555555555557,,
822,1859,8,10,30.22,25.555555555555557,,
823,1859,8,11,30.2,25.555555555555557,,
824,1859,8,12,30.2,27.77777777777778,,
825,1859,8,13,30.2,27.77777777777778,,
